target,drug,cellline,sigid,concentration,gene,expression_value
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000307900,0.0004382431507110596
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000263273,-0.14513471722602844
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000445175,1.3146308660507202
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000426909,-0.486594170331955
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000295702,-0.6919828057289124
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000327801,0.15544874966144562
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000360671,0.43800964951515203
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000300408,0.4096508622169495
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000271638,0.8774819374084473
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000361562,0.7860302329063416
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000355566,0.09847888350486757
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000257857,0.5320675373077393
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000254322,-0.8245017528533936
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000349722,-0.9995288252830504
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000216037,1.3993537425994873
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000349259,-0.4836349785327912
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000175091,-0.13356053829193115
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000380156,-0.3071112632751465
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000263645,0.3884592056274414
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000328325,-0.3545944094657898
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000053867,0.7898626327514648
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000343040,-0.5664666891098022
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000362463,-0.3534795641899109
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000344259,-0.11007508635520936
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000359988,0.4189196825027466
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000305790,0.5583710670471191
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000297185,-1.3257824182510376
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000238081,-0.36772358417510986
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000328690,0.2659890353679657
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000324804,-0.01690526306629181
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000384774,0.9758049845695496
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000258739,0.3202812671661377
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000451112,1.2601405382156372
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000242577,0.2752625346183777
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000236957,0.1891045868396759
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000340118,-0.6988680362701416
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000252455,0.9300732612609864
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000245206,-0.14909270405769348
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000371138,0.0
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000349297,-0.26152148842811584
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000231487,-0.16122272610664368
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000364721,-0.12156286835670473
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000375730,0.27780628204345703
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000358921,1.0913169384002686
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000340329,0.3949363231658936
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000335084,0.5808382034301758
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000367220,0.0028821434825658803
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000359685,0.3153450489044189
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000256682,-0.4691154956817627
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000407375,0.30212831497192383
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000362413,0.6016136407852173
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000330343,-0.40999776124954224
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000357555,-0.6125648021697998
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000299427,0.3482992053031921
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000367869,0.006993979215621947
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000377298,0.6106855869293213
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000376176,-0.5979556441307068
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000279247,0.20550432801246646
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000420381,1.1740220785140991
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000354855,-0.05180706828832626
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000273258,0.06221440434455872
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000309539,-0.22691407799720764
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000346037,-0.6797642707824707
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000304669,-0.23379752039909366
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000236671,0.6314075589179993
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000303147,0.8728834986686707
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000258341,0.4553214311599731
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000344547,-0.8259860873222351
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000277165,-1.2630013227462769
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000394316,-0.1005864292383194
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000336790,0.00789138674736023
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000318646,-0.2131418138742447
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000296511,-0.4853160083293915
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000410452,-2.0527868270874023
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000243077,1.630234956741333
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000259457,-0.4353094100952149
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000353660,0.3007047772407532
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000221418,-0.3807497620582581
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000234111,-0.2689964175224304
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000268182,0.3831929266452789
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000352257,-0.007747618481516837
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000216254,-0.4024314284324646
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000282470,-1.656645894050598
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000358022,-0.8612838387489319
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000364802,-0.2432205677032471
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000234677,-0.2411785125732422
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000389277,-0.5340704917907715
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000303366,-0.2254412770271301
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000340019,-0.8450037837028503
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000324422,0.5581406354904175
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000322887,-0.11135295033454896
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000258091,-0.4284042716026306
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000372155,0.1551397144794464
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000380378,0.8056743741035461
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000347271,-0.2491833567619324
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000467676,-0.7972221374511719
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000215071,0.795242965221405
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000294189,0.2837732434272766
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000381607,-0.21940672397613525
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000384144,-0.2848392724990845
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000342374,-0.024882994592189792
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000196061,-0.14238524436950686
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000378165,-0.25288158655166626
Q9P0X4,DB00381,A375,REP.A004_A375_24H:H07,10.0,ENSP00000310129,-0.4331297278404236
